"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-06T12:40:35.289+01:00[Europe/London]","0.0","8.09"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-06T12:40:43.431+01:00[Europe/London]","0.0","0.12"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-06T12:40:43.559+01:00[Europe/London]","0.0","0.17"
"Categories CRUD test","Delete the product by ID","ERROR","2022-06-06T12:40:43.736+01:00[Europe/London]","0.0","0.53"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-06T12:40:46.612+01:00[Europe/London]","0.0","0.24"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T12:40:46.850+01:00[Europe/London]","0.0","0.06"
"Products CRUD test","Update the product information","SUCCESS","2022-06-06T12:40:46.912+01:00[Europe/London]","0.0","0.12"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-06T12:40:47.034+01:00[Europe/London]","0.0","0.11"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-06T12:40:47.336+01:00[Europe/London]","0.0","0.15"
"Services CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T12:40:47.487+01:00[Europe/London]","0.0","0.05"
"Services CRUD test","Update the product information","SUCCESS","2022-06-06T12:40:47.536+01:00[Europe/London]","0.0","0.12"
"Services CRUD test","Delete the product by ID","SUCCESS","2022-06-06T12:40:47.661+01:00[Europe/London]","0.0","0.13"
"Stores CRUD test","This will create a New Store","SUCCESS","2022-06-06T12:40:47.911+01:00[Europe/London]","0.0","0.16"
"Stores CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T12:40:48.075+01:00[Europe/London]","0.0","0.04"
"Stores CRUD test","Update the product information","SUCCESS","2022-06-06T12:40:48.112+01:00[Europe/London]","0.0","0.1"
"Stores CRUD test","Delete the product by ID","SUCCESS","2022-06-06T12:40:48.215+01:00[Europe/London]","0.0","0.11"
"Utilities CRUD test","Get the version of Application","SUCCESS","2022-06-06T12:40:48.484+01:00[Europe/London]","0.0","0.06"
"Utilities CRUD test","Get the Health check of Application","SUCCESS","2022-06-06T12:40:48.549+01:00[Europe/London]","0.0","0.82"
